AU,ACT,Australia Capital Territory
AU,NSW,New South Wales
AU,NT,Northern Territory
AU,QLD,Queensland
AU,SA,South Australia
AU,TAS,Tasmania
AU,VIC,Victoria
AU,WA,Western Australia
JP,23,Aichi
JP,5,Akita
JP,2,Aomori
JP,12,Chiba
JP,38,Ehime
JP,18,Fukui
JP,40,Fukuoka
JP,7,Fukushima
JP,21,Gifu
JP,10,Gunma
JP,34,Hiroshima
JP,1,Hokkaido
JP,28,Hyogo
JP,8,Ibaraki
JP,17,Ishikawa
JP,3,Iwate
JP,37,Kagawa
JP,46,Kagoshima
JP,14,Kanagawa
JP,39,Kochi
JP,43,Kumamoto
JP,26,Kyoto
JP,24,Mie
JP,4,Miyagi
JP,45,Miyazaki
JP,20,Nagano
JP,42,Nagasaki
JP,29,Nara
JP,15,Niigata
JP,44,Oita
JP,33,Okayama
JP,47,Okinawa
JP,27,Osaka
JP,41,Saga
JP,11,Saitama
JP,25,Shiga
JP,32,Shimane
JP,22,Shizuoka
JP,9,Tochigi
JP,36,Tokushima
JP,13,Tokyo
JP,31,Tottori
JP,16,Toyama
JP,30,Wakayama
JP,6,Yamagata
JP,35,Yamaguchi
JP,19,Yamanashi
